Site,Lat,Long,clay_content
CC,32.8038,-105.80444,222
CH,31.91744,-109.27863,148
CH,31.91721,-109.27945,148
CH,31.9176,-109.2793,148
HM,33.63195,-109.32533,190
HM,33.63202,-109.32601,190
HM,33.63202,-109.32601,190
HM,33.63233,-109.32636,190
JC,35.85509,-105.64057,175
JC,35.85482,-105.63925,175
JC,35.8555,-105.63979,175
JC,35.855092,-105.640575,175
JM,36.02121,-106.58978,156
MM,33.99105,-107.18371,188
MM,33.99009,-107.18407,183
MM,33.99193,-107.18359,188
MM,33.991475,-107.183675,188
PL,32.66931,-109.87794,172
PL,32.66931,-109.87794,172
PL,32.668392,-109.877642,172
PL,32.66931,-109.87794,172
RP,31.90382,-109.27888,151
RP,31.90382,-109.27966,151
RP,31.90382,-109.27966,151
RP,31.9038,-109.28021,137
SC,35.20589,-106.44305,218
SC,35.20635,-106.443375,218
SC,35.20518,-106.44238,218
SC,35.2058,-106.44234,218
SH,31.917411,-109.278936,148
SM,35.24837,-107.59946,183
SM,35.24688,-107.60036,167
SM,35.24745,-107.59966,167
SM,35.24685,-107.59916,167
SM,35.24711,-107.59861,167
SS,32.78859,-105.786,227
SS,32.78859,-105.786,227
SS,32.78859,-105.786,227
UK,32.88197,-105.7748,204
UK,32.88197,-105.7748,204
UK,32.88197,-105.7748,204
VC,35.92265,-106.51702,162
VC,35.92213,-106.51733,162
VC,35.92178,-106.51765,162
