SiteYear,Canopy
CH2017,29.41468613
CH2018,29.41468613
CH2021,29.41468613
CH2022,29.41468613
HM2017,29.34655973
HM2018,29.34655973
HM2021,29.34655973
JC2017,37.52772685
JC2018,37.52772685
JC2021,37.52772685
MM2017,34.52541744
MM2018,34.52541744
MM2021,34.52541744
PL2017,30.18817218
PL2018,30.18817218
PL2021,30.18817218
PL2022,30.18817218
RP2021,29.94386253
RP2022,29.94386253
SC2017,39.98655932
SC2018,39.98655932
SC2021,39.98655932
SM2017,34.93346295
SM2018,34.93346295
SM2021,34.93346295
SS2017,42.40454187
UK2017,45.03365557
VC2017,18.40081254
